images,ocr_results
./x2.png,"Trajectory
Workflow
Summary
Goal
Task Summary
Whole Trajectory
Workflow (reusable action sequence)
Experience Summary
Step1: <code> Is -al </code>
Observation
(environment, actions, and details explanation)
Step4: <code>.important edits..</code>
Step2: <code>grep</code>
Observation
Insight
Step6: <code>..crucial steps.</code>
Title
Description (in one sentence)
Step24: <code> DONE</code>
Step9:<code></code>
Content (general, task-agnostic insights)"
./x3.png,"Algorithmic Strategy Transfer
Iterative Workflow Discipline
Repository
5.5%
Exploration Tactics
6.4%
15.0%
File and Syntax
7.8％
Management
Test Driven
Verification
14.5%
Environmental
8.1%
Adaptation
8.5%
Interaction
14.4%
Protocol
Anti-Pattern
9.5%
Adherence
10.4%
Avoidance
API & Interface
Input Validation &
Compliance
Robustness"
./x1.png,"(A) Without Memory
Fail
Fail
Fail
Cannot reflect on previous
successes and failures
(B) Self-Evolving Agent
SWE Task
MLE Task
Leverage limited memory
SWE
ML/AI
from a single domain only
Memory
Memory
Experience does not transfer
X
across tasks
(C) Memory Transfer Learning
'Can memory be transferred
Testing
Memories from
across different domains?
heterogenous domains
SWE Task
ML/AI
Scientific
Why does memory transfer
Memory
Paper Code
yieldcross-domains benefits?
DevOps
Competitive
How should memory be
Memory
Coding
designed for effective transfer?
(D) Average Performance across Coding Benchmarks
Memory Format: Trajectory  Workflow Summary
Insight
Self-Evolve
MTL (Ours)
0.48
g
0.46
Zero
0
-shot"
./x4.png,"Task Embeddings
Workflow Embeddings Summary Embeddings
Insight Embeddings"
./x5.png,"6.50
DBI
LISI
5
4.47
4.02
4.00
3.09
2.33
2.34
1.70
Trajectory Workflow S
Summary
Insight
."
./x7.png,"Workflow Generation Prompt for a Success Trajectory
#Task Description
You are given a **successful command tajectory** for a code-editing task — a sequence of Bash commands that correctly achieved its goal.
Your goal is to extract a **single reusable base workflow ** that captures the **core strategy behind the success**, so it can be reused in similar fiuture tasks.
The workfl ow should abstract the effective problem-solving pattern, such as how files were found, edited, and verified.
## What You Need to Produce
You must identify:
* The **goal** of the workflow
Describe what kind of subproblem it solves and when it should be used.
* The **sequence of Bash commands**
Include the key command steps that made the trajectory succeed, focusing on reusable pattems rather than one-off details.
#Workflow Requirements
The workflow must satisfy all of the following:
* It must come fiom the **given successful trajectory*
* It must be a **reusable subroutine**, not just a command log
* It should reflect **why the trajectory worked**, such as how files were found, code was modified, and results were checked
* Long commands may be **shortened** as long as the core action remains
##Output Format
Your output must follow this exact JSON format:
'json
""goal"": ""Describe when this workflow can be applied."",
""workflow"":
""bash command 1"",
""bash command 2"",
""bash command 3"","
./x6.png,"LiveCodeBench
ReplicationBench
SWEbench-Verified
Average
6
6
0/0
∆ Avg Pass@1
4
4
2
2
0
0
-2
-2
1/4
2/4
3/4
Full
2
5
Memory Pool Size
Number of Domains"
./x12.png,"Insight Generation Prompt for a Failed Trajectory
You are an expert in repository-level code editing. You will be given a user query, the coresponding trajectory that represents how an agent attempted to resolve
the task but failed.
## Guidelines
You need to extract and summarize useful insights in the format of memory items based on the agent's failed trajectory.
The goal of summarized memory items is to be helpful and generalizable for future similar tasks.
## Important notes
- You must first reflect and think why the trajectory failed, and then summarize what lessons you have leamed or strategies to prevent the failure in the future.
- Do not mention specific files or details, but rather focus on the generalizable insights.
- You can extract only one memory item firom the trajectory.
##Output Format
Your output must strictly follw the json format shown below:
""'json
""description"": ""one sentence summary of the memory item""
""content"": ""l-3 sentences describing the insights learned to successfully accomplishing the task"""
./x8.png,"Workflow Generation Prompt for a Failed Trajectory
Task Description
You are given a **failed command trajectory** for a code-editing task — a sequence of Bash commands that did not reach the intended goal.
Your goal is to extract a **single reusable base workflow** that captures a **bad or misleading strategy** that led to failure, so it can be avoided in similar
fiuture tasks
The workflow should abstract the **anti-patern** behind the failure, such as skipping inspection, editing the wrong fles, or making unchecked changes.
## What You Need to Produce
You must identify:
* The **goal** of the workflow
Describe what kind of mistake or failure pattem this workflow represents and when it tends to occur.
* The **sequence of Bash commands**
Include the key command steps that illustrate the **incorrect or harnful patten**, rather than how it was fixed.
## Workflow Requirements
The workfl ow must satisfy all of the following:
* It must come firom the **given failed trajectory
* It must be a **reusable negative example**, not just a random error
* It should reflect **why the trajectory failed**, such as skipping checks, editing blindly, or validating the wrong thing
* Long commands may be **shortened** as long as the core action remains
##Output Format
Your output must follow this exact JSON fornat:
""goal"": ""Describe when this workflow can be applied."",
""workflow"":
""bash command 1"",
""bash command 2"",
""bash command 3"","
./x11.png,"Insight Generation Prompt for a Success Trajectory
You are an expert in repository-level code editing. You will be given a user query, the coresponding trajectory that represents how an agent successfully
accomplished the task.
Guidelines
You need to extract and summarize useful insights in the format of memory items based on the agent's successful trajectory.
The goal of summarized memory items is to be helpful and generalizable for future similar tasks.
## Important notes
- You must first think why the trajectory is successfiul, and then summarize the insights.
- You can extract only one memory item firom the trajectory
- Do not mention specific files or details, but rather focus on the generalizable insights.
##Output Format
Your output must strictly follow the json format shown below:
""'json
""title"": ""the title of the memory item""
""description"": ""one sentence summary of the memory item""
""content"": ""l-3 sentences describing the insights learned to successfully accomplishing the task"""
